Request ID,Location Name,Landmark,Request Type,Request Status,Evaluation Status,Funding Status,Evaluation Rank,Evaluation Score,Ranking Month,Ranking Year,Primary St Block,Primary St Prefix Direction,Primary St,Cross St Block,Cross St Prefix,Cross St,Evaluation ID,Location,Request Note,Location Latitude,Location Longitude
REQ15-001825,PLEASANT VALLEY RD / VILLAGE WALK,,PHB,UNDER EVALUATION,COMPLETED,None Identified,33,265,DEC,2015,5100,S,PLEASANT VALLEY RD,2506,,VILLAGE WALK,PVL15-000975,,,30.1959582,-97.7448078
REQ15-001825,PLEASANT VALLEY RD / VILLAGE WALK,,PHB,UNDER EVALUATION,COMPLETED,None Identified,93,265,DEC,2016,5100,S,PLEASANT VALLEY RD,2506,,VILLAGE WALK,PVL16-001445,,,30.1959582,-97.7448078
REQ15-001835,WILLIAM CANNON DR / SHIER CV,,PHB,UNDER EVALUATION,COMPLETED,None Identified,24,353,DEC,2015,2204,W,WILLIAM CANNON DR,6801,,SHIER CV,PVL15-000985,,,30.203217,-97.809611
REQ15-001835,WILLIAM CANNON DR / SHIER CV,,PHB,UNDER EVALUATION,COMPLETED,None Identified,66,351,DEC,2016,2204,W,WILLIAM CANNON DR,6801,,SHIER CV,PVL16-001420,,,30.203217,-97.809611
REQ15-001840,1ST ST / RALPH ABLANEDO DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,26,331,DEC,2015,8600,S,1ST ST,601,,RALPH ABLANEDO DR,PVL15-000990,,,30.1741133,-97.7989036
REQ15-001840,1ST ST / RALPH ABLANEDO DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,78,321,DEC,2016,8600,S,1ST ST,601,,RALPH ABLANEDO DR,PVL16-001410,,,30.1741133,-97.7989036
REQ15-001845,OLTORF ST / SUNRIDGE DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,14,429,DEC,2015,4800,E,OLTORF ST,2601,,SUNRIDGE DR,PVL15-000995,,,30.223044,-97.722307
REQ15-001845,OLTORF ST / SUNRIDGE DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,22,428,DEC,2016,4800,E,OLTORF ST,2601,,SUNRIDGE DR,PVL16-001415,,,30.223044,-97.722307
REQ15-001850,LAMAR BLVD / LITTLE OAK DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,15,423,DEC,2015,11850,N,LAMAR BLVD,601,,LITTLE OAK DR,PVL15-001000,,,30.389371,-97.6828946
REQ15-001850,LAMAR BLVD / LITTLE OAK DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,25,424,DEC,2016,11850,N,LAMAR BLVD,601,,LITTLE OAK DR,PVL16-001455,,,30.389371,-97.6828946
REQ15-001855,LAMAR BLVD / FERGUSON DR,,PHB,STUDY,COMPLETED,None Identified,5,500,DEC,2015,10900,N,LAMAR BLVD,701,,FERGUSON DR,PVL15-001005,,,30.3776913,-97.6887665
REQ15-001865,AIRPORT BLVD / 16TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,18,401,DEC,2015,1500,,AIRPORT BLVD,3100,E,16TH ST,PVL15-001015,,,30.2797145,-97.7021682
REQ15-001865,AIRPORT BLVD / 16TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,42,401,DEC,2016,1500,,AIRPORT BLVD,3100,E,16TH ST,PVL16-001400,,,30.2797145,-97.7021682
REQ15-001870,AIRPORT BLVD / ANTONE ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,29,300,DEC,2015,4001,,AIRPORT BLVD,1830,,ANTONE ST,PVL15-001020,,,30.2913058,-97.7074162
REQ15-001870,AIRPORT BLVD / ANTONE ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,86,300,DEC,2016,4001,,AIRPORT BLVD,1830,,ANTONE ST,PVL16-001405,,,30.2913058,-97.7074162
REQ15-001875,AIRPORT BLVD / 49TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,12,439,DEC,2015,4900,,AIRPORT BLVD,900,E,49TH ST,PVL15-001025,,,30.3092046,-97.7156199
REQ15-001875,AIRPORT BLVD / 49TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,15,439,DEC,2016,4900,,AIRPORT BLVD,900,E,49TH ST,PVL16-001380,,,30.3092046,-97.7156199
REQ15-001885,FM 969 RD / REGENCY DR,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,5,500,DEC,2015,6100,,FM 969 RD,5000,,REGENCY DR,PVL15-001035,,,30.28507,-97.661974
REQ15-001890,600 BLK E 10TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,35,205,DEC,2015,600,E,10TH ST,0,,,PVL15-001040,,,30.26993,-97.73475
REQ15-001890,600 BLK E 10TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,103,205,DEC,2016,600,E,10TH ST,0,,,PVL16-001375,,,30.26993,-97.73475
REQ15-001895,RUNDBERG LN / SINGING QUAIL DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,21,368,DEC,2015,1714,W,RUNDBERG LN,9212,,SINGING QUAIL DR,PVL15-001045,,,30.3705502,-97.7130332
REQ15-001895,RUNDBERG LN / SINGING QUAIL DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,58,368,DEC,2016,1714,W,RUNDBERG LN,9212,,SINGING QUAIL DR,PVL16-001370,,,30.3705502,-97.7130332
REQ13-001900,BURNET RD / PENNY LN,,PHB,STUDY,COMPLETED,None Identified,1,509,JUL,2013,8400,,BURNET RD,2401,,PENNY LN,PVL13-000160,,,30.3644978,-97.7286359
REQ13-001900,BURNET RD / PENNY LN,,PHB,STUDY,COMPLETED,None Identified,,529,DEC,2016,8400,,BURNET RD,2401,,PENNY LN,PVL16-001690,,,30.3644978,-97.7286359
REQ15-001915,1ST ST / GREAT BRITAIN BLVD,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,16,414,DEC,2015,8200,S,1ST ST,601,,GREAT BRITAIN BLVD,PVL15-001065,,A traffic signal is recommended for this location.,30.1793423,-97.7960815
REQ15-001915,1ST ST / GREAT BRITAIN BLVD,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,28,415,DEC,2016,8200,S,1ST ST,601,,GREAT BRITAIN BLVD,PVL16-001390,,A traffic signal is recommended for this location.,30.1793423,-97.7960815
REQ15-001920,TRINITY ST / 9TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,34,220,DEC,2015,900,,TRINITY ST,300,E,9TH ST,PVL15-001070,,,30.2698889,-97.7383113
REQ15-001920,TRINITY ST / 9TH ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,100,220,DEC,2016,900,,TRINITY ST,300,E,9TH ST,PVL16-001385,,,30.2698889,-97.7383113
REQ15-001925,MANOR RD / ALEXANDER AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,20,373,DEC,2015,2810,,MANOR RD,2200,,ALEXANDER AVE,PVL15-001075,,,30.2856925,-97.710204
REQ15-001925,MANOR RD / ALEXANDER AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,57,373,DEC,2016,2810,,MANOR RD,2200,,ALEXANDER AVE,PVL16-001395,,,30.2856925,-97.710204
REQ15-001930,ESCARPMENT BLVD / OLIVER LOVING TRL,,PHB,UNDER EVALUATION,COMPLETED,None Identified,32,270,DEC,2015,7600,,ESCARPMENT BLVD,6401,,OLIVER LOVING TRL,PVL15-001080,,,30.2236555,-97.8716364
REQ15-001930,ESCARPMENT BLVD / OLIVER LOVING TRL,,PHB,UNDER EVALUATION,COMPLETED,None Identified,92,270,DEC,2016,7600,,ESCARPMENT BLVD,6401,,OLIVER LOVING TRL,PVL16-001365,,,30.2236555,-97.8716364
REQ15-001935,BRODIE LN / BRODIE LN,,PHB,UNDER EVALUATION,COMPLETED,None Identified,22,360,DEC,2015,9400,,BRODIE LN,9600,,BRODIE LN,PVL15-001085,,,30.188493,-97.846659
REQ15-001935,BRODIE LN / BRODIE LN,,PHB,UNDER EVALUATION,COMPLETED,None Identified,63,360,DEC,2016,9400,,BRODIE LN,9600,,BRODIE LN,PVL16-001360,,,30.188493,-97.846659
REQ15-001940,CONGRESS AVE / LONG BOW LN,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,1,585,DEC,2015,2400,S,CONGRESS AVE,100,,LONG BOW LN,PVL15-001090,,,30.237202,-97.7549394
REQ15-001945,11912 BLK N LAMAR BLVD (On the Green Apartments),On the Green Apartments,PHB,NOT RECOMMENDED,COMPLETED,None Identified,10,473,DEC,2015,11912,N,LAMAR BLVD,0,,,PVL15-001095,,,30.393071,-97.679688
REQ15-001950,DAVIS LN / ESCABOSA DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,28,320,DEC,2015,2208,,DAVIS LN,8601,,ESCABOSA DR,PVL15-001100,,,30.187453,-97.819559
REQ15-001950,DAVIS LN / ESCABOSA DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,79,320,DEC,2016,2208,,DAVIS LN,8601,,ESCABOSA DR,PVL16-001565,,,30.187453,-97.819559
REQ15-001955,51ST ST / BENNETT AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,25,335,DEC,2015,900,E,51ST ST,5100,,BENNETT AVE,PVL15-001105,,,30.3111865,-97.7133973
REQ15-001955,51ST ST / BENNETT AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,71,335,DEC,2016,900,E,51ST ST,5100,,BENNETT AVE,PVL16-001570,,,30.3111865,-97.7133973
REQ15-001960,ANDERSON MILL RD / BLACK OAK ST,,PHB,RECOMMENDED,COMPLETED,None Identified,8,490,DEC,2015,8864,,ANDERSON MILL RD,8923,,BLACK OAK ST,PVL15-001110,,,30.454067,-97.7733446
REQ15-001965,MANCHACA RD / BERKETT DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,27,328,DEC,2015,6200,,MANCHACA RD,2001,,BERKETT DR,PVL15-001115,,,30.2105206,-97.8036314
REQ15-001965,MANCHACA RD / BERKETT DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,76,328,DEC,2016,6200,,MANCHACA RD,2001,,BERKETT DR,PVL16-001515,,,30.2105206,-97.8036314
REQ15-001970,MANCHACA RD / ST ALBANS BLVD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,30,289,DEC,2015,5200,,MANCHACA RD,1701,,ST ALBANS BLVD,PVL15-001120,,,30.2185202,-97.7954446
REQ15-001970,MANCHACA RD / ST ALBANS BLVD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,88,288,DEC,2016,5200,,MANCHACA RD,1701,,ST ALBANS BLVD,PVL16-001505,,,30.2185202,-97.7954446
REQ14-001975,AIRPORT BLVD / PARKWOOD RD,,PHB,STUDY,COMPLETED,None Identified,43,420,JUL,2014,4401,,AIRPORT BLVD,4400,,PARKWOOD RD,PVL14-000430,,,30.3004634,-97.7127191
REQ14-001975,AIRPORT BLVD / PARKWOOD RD,,PHB,STUDY,COMPLETED,None Identified,,407,DEC,2016,4401,,AIRPORT BLVD,4400,,PARKWOOD RD,PVL16-001660,,,30.3004634,-97.7127191
REQ14-001980,AIRPORT BLVD / 46TH ST,,PHB,STUDY,COMPLETED,None Identified,35,435,JUL,2014,4600,,AIRPORT BLVD,920,E,46TH ST,PVL14-000505,,,30.3048494,-97.7159389
REQ14-001980,AIRPORT BLVD / 46TH ST,,PHB,STUDY,COMPLETED,None Identified,,434,DEC,2016,4600,,AIRPORT BLVD,920,E,46TH ST,PVL16-001675,,,30.3048494,-97.7159389
REQ14-001985,CONGRESS AVE / KREBS LN,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,2,610,JUL,2014,3800,S,CONGRESS AVE,101,,KREBS LN,PVL14-000660,,"PHB recommended for Congress @ Alpine.  Study recommended PHB at Krebs, but was moved to Alpine due to constructability issues at Krebs.  Was part of the TAP grant.",30.2254104,-97.7625098
REQ16-001990,DUVAL RD / ANGUS RD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,14,316,MAY,2016,5217,,DUVAL RD,11700,,ANGUS RD,PVL16-001140,,,30.4175235,-97.7421496
REQ16-001990,DUVAL RD / ANGUS RD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,80,316,DEC,2016,5217,,DUVAL RD,11700,,ANGUS RD,PVL16-001480,,,30.4175235,-97.7421496
REQ16-001995,LAKE CREEK PKWY / BRISTLE OAK TRL,,PHB,UNDER EVALUATION,COMPLETED,None Identified,18,190,MAY,2016,11311,,LAKE CREEK PKWY,11301,,BRISTLE OAK TRL,PVL16-001145,,,30.4591939,-97.8141966
REQ16-001995,LAKE CREEK PKWY / BRISTLE OAK TRL,,PHB,UNDER EVALUATION,COMPLETED,None Identified,104,190,DEC,2016,11311,,LAKE CREEK PKWY,11301,,BRISTLE OAK TRL,PVL16-001475,,,30.4591939,-97.8141966
REQ16-002000,38TH ST / BAILEY LN,,PHB,STUDY,COMPLETED,None Identified,7,446,MAY,2016,1300,W,38TH ST,3800,,BAILEY LN,PVL16-001150,,,30.306384,-97.7457098
REQ15-002005,LAMAR BLVD / DEL CURTO RD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,22,360,DEC,2015,2237,S,LAMAR BLVD,2201,,DEL CURTO RD,PVL15-001155,,,30.2472706,-97.77523217
REQ15-002005,LAMAR BLVD / DEL CURTO RD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,55,375,DEC,2016,2237,S,LAMAR BLVD,2201,,DEL CURTO RD,PVL16-001510,,,30.2472706,-97.77523217
REQ16-001065,"RUNDBERG LN / TEASDALE TER (Dobie MS, Gus Garcia Rec Center)","Dobie MS, Gus Garcia Rec Center",PHB,TURNED_ON,COMPLETED,,6,455,,,1100,E,RUNDBERG LN,9400,,TEASDALE TER,PVL16-000045,"(30.3539848, -97.6813049)",,30.3539848,-97.6813049
REQ14-002025,BURNET RD / TWIN OAKS DR,,PHB,STUDY,COMPLETED,None Identified,8,422,DEC,2014,6600,,BURNET RD,2401,,TWIN OAKS DR,PVL14-000725,,,30.3419999,-97.7386757
REQ14-002025,BURNET RD / TWIN OAKS DR,,PHB,STUDY,COMPLETED,None Identified,,422,DEC,2016,6600,,BURNET RD,2401,,TWIN OAKS DR,PVL16-001695,,,30.3419999,-97.7386757
REQ16-002035,JOLLYVILLE RD / BELL AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,16,275,MAY,2016,11640,,JOLLYVILLE RD,11600,,BELL AVE,PVL16-001185,,,30.4188473,-97.7518042
REQ16-002035,JOLLYVILLE RD / BELL AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,91,275,DEC,2016,11640,,JOLLYVILLE RD,11600,,BELL AVE,PVL16-001485,,,30.4188473,-97.7518042
REQ16-002040,JOLLYVILLE RD / COLUMBIA OAKS DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,10,425,MAY,2016,11947,,JOLLYVILLE RD,11806,,COLUMBIA OAKS DR,PVL16-001190,,,30.425885,-97.7580216
REQ16-002040,JOLLYVILLE RD / COLUMBIA OAKS DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,24,425,DEC,2016,11947,,JOLLYVILLE RD,11806,,COLUMBIA OAKS DR,PVL16-001495,,,30.425885,-97.7580216
REQ16-002045,8400 BLK CROSS PARK DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,9,436,MAY,2016,8400,,CROSS PARK DR,0,,,PVL16-001195,,,30.340061,-97.676723
REQ16-002045,8400 BLK CROSS PARK DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,16,437,DEC,2016,8400,,CROSS PARK DR,0,,,PVL16-001490,,,30.340061,-97.676723
REQ16-002055,24TH ST / LONGVIEW ST,,PHB,STUDY,COMPLETED,None Identified,3,520,MAY,2016,1200,W,24TH ST,2400,,LONGVIEW ST,PVL16-001205,,,30.2884007,-97.7508545
REQ16-002060,35TH ST / OAKMONT BLVD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,12,391,MAY,2016,1822,W,35TH ST,3400,,OAKMONT BLVD,PVL16-001210,,,30.3084869,-97.75429847
REQ16-002060,35TH ST / OAKMONT BLVD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,48,391,DEC,2016,1822,W,35TH ST,3400,,OAKMONT BLVD,PVL16-001440,,,30.3084869,-97.75429847
REQ16-002065,201 BLK W RUNDBERG LN (Barrington ES),Barrington ES,PHB,UNDER EVALUATION,COMPLETED,None Identified,13,371,MAY,2016,201,W,RUNDBERG LN,0,,,PVL16-001215,,,30.362618,-97.694422
REQ16-002065,201 BLK W RUNDBERG LN (Barrington ES),Barrington ES,PHB,UNDER EVALUATION,COMPLETED,None Identified,58,368,DEC,2016,201,W,RUNDBERG LN,0,,,PVL16-001450,,,30.362618,-97.694422
REQ15-002070,AIRPORT BLVD / 55TH ST,,PHB,STUDY,IN PROGRESS,None Identified,7,495,DEC,2015,5500,,AIRPORT BLVD,800,E,55TH ST,PVL15-001030,,,30.3168713,-97.7136968
REQ16-002075,AIRPORT BLVD / JACOB FONTAINE LN (Highland Mall Entry Plaza),Highland Mall Entry Plaza,PHB,STUDY,COMPLETED,None Identified,2,395,DEC,2013,5900,,AIRPORT BLVD,501,,JACOB FONTAINE LN,PVL16-001125,,,30.325404,-97.716012
REQ16-002075,AIRPORT BLVD / JACOB FONTAINE LN (Highland Mall Entry Plaza),Highland Mall Entry Plaza,PHB,STUDY,COMPLETED,None Identified,,345,DEC,2016,5900,,AIRPORT BLVD,501,,JACOB FONTAINE LN,PVL16-001680,,,30.325404,-97.716012
REQ16-002080,AIRPORT BLVD / 40TH ST,,PHB,STUDY,COMPLETED,None Identified,9,335,,,4000,,AIRPORT BLVD,1816,E,40TH ST,PVL16-001130,,,30.2915163,-97.7076717
REQ16-002080,AIRPORT BLVD / 40TH ST,,PHB,STUDY,COMPLETED,None Identified,,335,DEC,2016,4000,,AIRPORT BLVD,1816,E,40TH ST,PVL16-001670,,,30.2915163,-97.7076717
REQ16-002085,ANDERSON MILL RD / HARMONY HILL ST,,PHB,STUDY,COMPLETED,None Identified,6,450,MAY,2016,9200,,ANDERSON MILL RD,12500,,HARMONY HILL ST,PVL16-001235,,,30.4517017,-97.7810609
REQ16-002085,ANDERSON MILL RD / HARMONY HILL ST,,PHB,STUDY,COMPLETED,None Identified,9,450,DEC,2016,9200,,ANDERSON MILL RD,12500,,HARMONY HILL ST,PVL16-001350,,,30.4517017,-97.7810609
REQ16-002090,DUVAL RD / GATE WAY,,PHB,UNDER EVALUATION,COMPLETED,None Identified,17,265,MAY,2016,5100,,DUVAL RD,11800,,GATE WAY,PVL16-001240,,,30.4161868,-97.739385
REQ16-002090,DUVAL RD / GATE WAY,,PHB,UNDER EVALUATION,COMPLETED,None Identified,93,265,DEC,2016,5100,,DUVAL RD,11800,,GATE WAY,PVL16-001500,,,30.4161868,-97.739385
REQ16-002095,HOWARD LN / HOWARD LN (CMTA Howard Ln Rail Station - East Driveway),CMTA Howard Ln Rail Station - East Driveway,PHB,UNDER EVALUATION,COMPLETED,None Identified,11,414,MAY,2016,3800,W,HOWARD LN,3701,W,HOWARD LN,PVL16-001245,,,30.4407215,-97.7002716
REQ16-002095,HOWARD LN / HOWARD LN (CMTA Howard Ln Rail Station - East Driveway),CMTA Howard Ln Rail Station - East Driveway,PHB,UNDER EVALUATION,COMPLETED,None Identified,32,414,DEC,2016,3800,W,HOWARD LN,3701,W,HOWARD LN,PVL16-001465,,,30.4407215,-97.7002716
REQ16-002100,LAKE AUSTIN BLVD / HEARN ST,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,2,530,MAY,2016,2500,,LAKE AUSTIN BLVD,500,,HEARN ST,PVL16-001250,,Does not meet PHB installation requirements.,30.278539,-97.773179
REQ16-002105,5TH ST / WEST LYNN ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,8,442,MAY,2016,1600,W,5TH ST,500,,WEST LYNN ST,PVL16-001255,,,30.2737122,-97.76332593
REQ16-002105,5TH ST / WEST LYNN ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,13,442,DEC,2016,1600,W,5TH ST,500,,WEST LYNN ST,PVL16-001460,,,30.2737122,-97.76332593
REQ16-002110,DUVAL RD / WHISPERING VALLEY DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,15,315,MAY,2016,4400,,DUVAL RD,4400,,WHISPERING VALLEY DR,PVL16-001260,,,30.4125099,-97.7315926
REQ16-002110,DUVAL RD / WHISPERING VALLEY DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,81,315,DEC,2016,4400,,DUVAL RD,4400,,WHISPERING VALLEY DR,PVL16-001470,,,30.4125099,-97.7315926
REQ16-002115,PEARCE LN / PASEO NUEVO CIR,,PHB,NOT RECOMMENDED,COMPLETED,None Identified,5,465,MAY,2016,12302,,PEARCE LN,5587,,PASEO NUEVO CIR,PVL16-001265,,Does not meet PHB installation requirements.,30.1715126,-97.62754752
REQ16-002120,45TH ST / SINCLAIR AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,100,220,DEC,2016,1700,W,45TH ST,4500,,SINCLAIR AVE,PVL16-001270,,,30.3166405,-97.7442374
REQ16-002125,WILLIAM CANNON DR / JANES RANCH RD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,28,415,DEC,2016,6514,E,WILLIAM CANNON DR,7007,,JANES RANCH RD,PVL16-001275,,,30.1645813,-97.73087954
REQ16-002130,DUVAL RD / SANTA CRUZ DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,77,325,DEC,2016,4416,,DUVAL RD,11706,,SANTA CRUZ DR,PVL16-001280,,,30.4131276,-97.7328469
REQ16-002135,5108 BLK MANCHACA RD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,105,186,DEC,2016,5108,,MANCHACA RD,0,,,PVL16-001285,,,30.21954,-97.794184
REQ16-002145,9800 BLK METRIC BLVD,,PHB,UNDER EVALUATION,COMPLETED,None Identified,40,402,DEC,2016,9800,,METRIC BLVD,0,,,PVL16-001295,,,30.37742,-97.7169
REQ16-002150,SCOFIELD RIDGE PKWY / WINWICK WAY,,PHB,STUDY,COMPLETED,None Identified,5,490,DEC,2016,2500,,SCOFIELD RIDGE PKWY,13300,,WINWICK WAY,PVL16-001300,,,30.4295187,-97.6952703
REQ13-002155,BURLESON RD / DIME CIR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,1,450,DEC,2013,6500,,BURLESON RD,3719,,DIME CIR,PVL13-001305,,,30.2033142,-97.71224
REQ13-002155,BURLESON RD / DIME CIR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,,450,DEC,2016,6500,,BURLESON RD,3719,,DIME CIR,PVL16-001655,,,30.2033142,-97.71224
REQ16-002160,MANCHACA RD / SHILOH DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,54,378,DEC,2016,7826,,MANCHACA RD,2001,,SHILOH DR,PVL16-001310,,,30.1912073,-97.8129334
REQ16-002165,MANOR RD / STAFFORD ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,40,402,DEC,2016,2400,,MANOR RD,2200,,STAFFORD ST,PVL16-001315,,,30.2848949,-97.71545075
REQ16-002170,GUADALUPE ST / 46TH ST,,PHB,STUDY,COMPLETED,None Identified,3,496,,,4526,W,GUADALUPE ST,521,W,46TH ST,PVL16-001135,,,30.3128316,-97.731653
REQ16-002170,GUADALUPE ST / 46TH ST,,PHB,STUDY,COMPLETED,None Identified,,451,DEC,2016,4526,W,GUADALUPE ST,521,W,46TH ST,PVL16-001665,,,30.3128316,-97.731653
REQ16-002175,45TH ST / TRIANGLE AVE,,PHB,UNDER EVALUATION,COMPLETED,None Identified,39,405,DEC,2016,600,W,45TH ST,4500,,TRIANGLE AVE,PVL16-001325,,,30.3122215,-97.73534791
REQ16-002180,5700 BLK S 1ST ST,,PHB,UNDER EVALUATION,COMPLETED,None Identified,60,366,DEC,2016,5700,S,1ST ST,0,,,PVL16-001330,,,30.20532,-97.78308
REQ16-002185,PLEASANT VALLEY RD / ANKEN DR,,PHB,STUDY,COMPLETED,None Identified,6,473,DEC,2016,2208,S,PLEASANT VALLEY RD,2300,,ANKEN DR,PVL16-001335,,,30.2297039,-97.72636179
REQ16-002190,DITTMAR RD / WYNNE LN,,PHB,UNDER EVALUATION,COMPLETED,None Identified,12,447,DEC,2016,1008,W,DITTMAR RD,8101,,WYNNE LN,PVL16-001340,,,30.1857319,-97.8028804
REQ16-002195,ESCARPMENT BLVD / OASIS DR,,PHB,UNDER EVALUATION,COMPLETED,None Identified,67,350,DEC,2016,7600,,ESCARPMENT BLVD,6401,,OASIS DR,PVL16-001345,,,30.22114,-97.87333
REQ16-002200,ST JOHNS AVE / BLESSING AVE,,PHB,STUDY,COMPLETED,None Identified,1,638,DEC,2016,1100,E,ST JOHNS AVE,7000,,BLESSING AVE,PVL16-000050,,,30.328583,-97.695149
REQ16-002210,1ST ST / MEADOW LEA DR,,PHB,STUDY,COMPLETED,None Identified,3,549,DEC,2016,7200,S,1ST ST,601,,MEADOW LEA DR,PVL16-000070,,,30.19,-97.79
REQ15-000510,WEST GATE BLVD / BLARWOOD DR,,TRAFFIC,UNDER EVALUATION,COMPLETED,None Identified,20,80,MAY,2015,6016,,WEST GATE BLVD,6101,,BLARWOOD DR,TVL15-000600,"(30.2166413, -97.8116231)",,30.2166413,-97.8116231
REQ16-002230,6400 BLK S CONGRESS AVE,,PHB,STUDY,COMPLETED,None Identified,8,455,DEC,2016,6400,S,CONGRESS AVE,0,,,PVL16-000065,,,30.194276,-97.778356
REQ16-002120,45TH ST / SINCLAIR AVE,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,120,220,DEC,2017,1700,W,45TH ST,4500,,SINCLAIR AVE,PVL17-002375,"(30.3166405, -97.7442374)",,30.3166405,-97.7442374
REQ16-002250,1800 BLK W PARMER LN (Parmer Ln. ES),Parmer Ln. ES,PHB,UNDER EVALUATION,COMPLETED,None Identified,13,442,DEC,2016,1800,W,PARMER LN,0,,,PVL16-000085,,Parmer Ln. is a TxDOT roadway,30.414,-97.692
REQ16-002255,JOLLYVILLE RD / ARABIAN TRL,,PHB,STUDY,COMPLETED,None Identified,7,465,DEC,2016,11806,,JOLLYVILLE RD,11800,,ARABIAN TRL,PVL16-000095,,,30.421922,-97.754689
REQ16-002260,LAKE CREEK PKWY / LAKE CREEK PKWY (South of 620 at Walmart/Harmony School/Apt. entrances),South of 620 at Walmart/Harmony School/Apt. entrances,PHB,UNDER EVALUATION,COMPLETED,None Identified,85,313,DEC,2016,9926,,LAKE CREEK PKWY,10001,,LAKE CREEK PKWY,PVL16-001355,,,30.468443,-97.788529
REQ16-002265,MONTOPOLIS DR / RICHARDSON LN,,PHB,UNDER EVALUATION,COMPLETED,None Identified,21,430,DEC,2016,700,,MONTOPOLIS DR,6000,,RICHARDSON LN,PVL16-000105,,,30.236214,-97.6962
REQ16-002270,BURLESON RD / PROMONTORY POINT DR,,PHB,STUDY,COMPLETED,None Identified,2,602,DEC,2016,4918,,BURLESON RD,3701,,PROMONTORY POINT DR,PVL16-000125,,,30.210438,-97.726866
REQ16-002125,WILLIAM CANNON DR / JANES RANCH RD,,PHB,UNDER EVALUATION,IN PROGRESS,None Identified,31,415,DEC,2017,6514,E,WILLIAM CANNON DR,7007,,JANES RANCH RD,PVL17-002370,"(30.1645813, -97.73087954)",,30.1645813,-97.73087954
REQ16-002285,6600 BLK N LAMAR BLVD (District Border (4 &7)),District Border (4 &7),PHB,UNDER EVALUATION,COMPLETED,None Identified,28,415,DEC,2016,6600,N,LAMAR BLVD,0,,,PVL16-000040,,Council District Border (4 & 7),30.334732,-97.720794
